# revision=b417ed538d0c7c9c2e49bf9914340c81663c360f
# architecture=x86_64 vendor=amd family=25 model=17 stepping=1 microarchitecture="" features=511
# cache_line_bytes=64 l1_data_bytes=32768 l2_bytes=1048576 l3_bytes=33554432 physical_cores=2 logical_cores=4
# requested_threads=4 effective_threads=4 affinity=none spin=adaptive spin_iterations=10000 spin_duration_ns=0 uses_smt=1 uses_efficiency_cores=0 nested=0
# visible_processors=0:0 0:1 0:2 0:3 
dtype,workload,m,n,k,trans_a,trans_b,configuration,tile_m,tile_n,tile_k,pack_b_minimum_elements,repetition,duration_ns
1,tall,256,64,128,0,0,0,64,256,256,16384,0,1011774
1,tall,256,64,128,0,0,1,32,256,256,16384,0,999907
1,tall,256,64,128,0,0,2,64,64,256,16384,0,630433
1,tall,256,64,128,0,0,3,64,256,64,16384,0,605627
1,tall,256,64,128,0,0,4,64,256,256,0,0,448301
1,tall,256,64,128,0,0,5,64,256,256,9223372036854775807,0,609973
1,tall,256,64,128,0,0,6,32,64,128,16384,0,618064
1,tall,256,64,128,0,0,1,32,256,256,16384,1,608731
1,tall,256,64,128,0,0,2,64,64,256,16384,1,619877
1,tall,256,64,128,0,0,3,64,256,64,16384,1,615721
1,tall,256,64,128,0,0,4,64,256,256,0,1,439448
1,tall,256,64,128,0,0,5,64,256,256,9223372036854775807,1,617374
1,tall,256,64,128,0,0,6,32,64,128,16384,1,607809
1,tall,256,64,128,0,0,0,64,256,256,16384,1,617484
1,tall,256,64,128,0,0,2,64,64,256,16384,2,616332
1,tall,256,64,128,0,0,3,64,256,64,16384,2,606247
1,tall,256,64,128,0,0,4,64,256,256,0,2,446478
1,tall,256,64,128,0,0,5,64,256,256,9223372036854775807,2,608771
1,tall,256,64,128,0,0,6,32,64,128,16384,2,621029
1,tall,256,64,128,0,0,0,64,256,256,16384,2,616312
1,tall,256,64,128,0,0,1,32,256,256,16384,2,607939
1,tall,256,64,128,0,0,3,64,256,64,16384,3,615050
1,tall,256,64,128,0,0,4,64,256,256,0,3,439437
1,tall,256,64,128,0,0,5,64,256,256,9223372036854775807,3,617844
1,tall,256,64,128,0,0,6,32,64,128,16384,3,608291
1,tall,256,64,128,0,0,0,64,256,256,16384,3,616322
1,tall,256,64,128,0,0,1,32,256,256,16384,3,617023
1,tall,256,64,128,0,0,2,64,64,256,16384,3,608260
1,tall,256,64,128,0,0,4,64,256,256,0,4,447058
1,tall,256,64,128,0,0,5,64,256,256,9223372036854775807,4,608621
1,tall,256,64,128,0,0,6,32,64,128,16384,4,618476
1,tall,256,64,128,0,0,0,64,256,256,16384,4,616722
1,tall,256,64,128,0,0,1,32,256,256,16384,4,607960
1,tall,256,64,128,0,0,2,64,64,256,16384,4,617063
1,tall,256,64,128,0,0,3,64,256,64,16384,4,605566
1,tall,256,64,128,0,0,5,64,256,256,9223372036854775807,5,620989
1,tall,256,64,128,0,0,6,32,64,128,16384,5,617624
1,tall,256,64,128,0,0,0,64,256,256,16384,5,608290
1,tall,256,64,128,0,0,1,32,256,256,16384,5,616903
1,tall,256,64,128,0,0,2,64,64,256,16384,5,608340
1,tall,256,64,128,0,0,3,64,256,64,16384,5,615091
1,tall,256,64,128,0,0,4,64,256,256,0,5,464165
1,tall,256,64,128,0,0,6,32,64,128,16384,6,608801
1,tall,256,64,128,0,0,0,64,256,256,16384,6,618025
1,tall,256,64,128,0,0,1,32,256,256,16384,6,608310
1,tall,256,64,128,0,0,2,64,64,256,16384,6,617834
1,tall,256,64,128,0,0,3,64,256,64,16384,6,615240
1,tall,256,64,128,0,0,4,64,256,256,0,6,439538
1,tall,256,64,128,0,0,5,64,256,256,9223372036854775807,6,832606
1,tails,65,129,67,0,0,0,64,256,256,16384,0,376423
1,tails,65,129,67,0,0,1,32,256,256,16384,0,315151
1,tails,65,129,67,0,0,2,64,64,256,16384,0,724604
1,tails,65,129,67,0,0,3,64,256,64,16384,0,440439
1,tails,65,129,67,0,0,4,64,256,256,0,0,351646
1,tails,65,129,67,0,0,5,64,256,256,9223372036854775807,0,406469
1,tails,65,129,67,0,0,6,32,64,128,16384,0,329242
1,tails,65,129,67,0,0,1,32,256,256,16384,1,308141
1,tails,65,129,67,0,0,2,64,64,256,16384,1,595991
1,tails,65,129,67,0,0,3,64,256,64,16384,1,396663
1,tails,65,129,67,0,0,4,64,256,256,0,1,316734
1,tails,65,129,67,0,0,5,64,256,256,9223372036854775807,1,399077
1,tails,65,129,67,0,0,6,32,64,128,16384,1,318516
1,tails,65,129,67,0,0,0,64,256,256,16384,1,362412
1,tails,65,129,67,0,0,2,64,64,256,16384,2,502041
1,tails,65,129,67,0,0,3,64,256,64,16384,2,374851
1,tails,65,129,67,0,0,4,64,256,256,0,2,316384
1,tails,65,129,67,0,0,5,64,256,256,9223372036854775807,2,369683
1,tails,65,129,67,0,0,6,32,64,128,16384,2,308191
1,tails,65,129,67,0,0,0,64,256,256,16384,2,361331
1,tails,65,129,67,0,0,1,32,256,256,16384,2,313979
1,tails,65,129,67,0,0,3,64,256,64,16384,3,371876
1,tails,65,129,67,0,0,4,64,256,256,0,3,317214
1,tails,65,129,67,0,0,5,64,256,256,9223372036854775807,3,380769
1,tails,65,129,67,0,0,6,32,64,128,16384,3,308822
1,tails,65,129,67,0,0,0,64,256,256,16384,3,360970
1,tails,65,129,67,0,0,1,32,256,256,16384,3,314030
1,tails,65,129,67,0,0,2,64,64,256,16384,3,485356
1,tails,65,129,67,0,0,4,64,256,256,0,4,317024
1,tails,65,129,67,0,0,5,64,256,256,9223372036854775807,4,379097
1,tails,65,129,67,0,0,6,32,64,128,16384,4,315712
1,tails,65,129,67,0,0,0,64,256,256,16384,4,393909
1,tails,65,129,67,0,0,1,32,256,256,16384,4,304816
1,tails,65,129,67,0,0,2,64,64,256,16384,4,480559
1,tails,65,129,67,0,0,3,64,256,64,16384,4,383975
1,tails,65,129,67,0,0,5,64,256,256,9223372036854775807,5,362152
1,tails,65,129,67,0,0,6,32,64,128,16384,5,307760
1,tails,65,129,67,0,0,0,64,256,256,16384,5,373699
1,tails,65,129,67,0,0,1,32,256,256,16384,5,304376
1,tails,65,129,67,0,0,2,64,64,256,16384,5,495111
1,tails,65,129,67,0,0,3,64,256,64,16384,5,370805
1,tails,65,129,67,0,0,4,64,256,256,0,5,317906
1,tails,65,129,67,0,0,6,32,64,128,16384,6,321841
1,tails,65,129,67,0,0,0,64,256,256,16384,6,359779
1,tails,65,129,67,0,0,1,32,256,256,16384,6,304635
1,tails,65,129,67,0,0,2,64,64,256,16384,6,489923
1,tails,65,129,67,0,0,3,64,256,64,16384,6,370334
1,tails,65,129,67,0,0,4,64,256,256,0,6,318306
1,tails,65,129,67,0,0,5,64,256,256,9223372036854775807,6,375983
1,transpose_a,65,129,67,1,0,0,64,256,256,16384,0,765947
1,transpose_a,65,129,67,1,0,1,32,256,256,16384,0,517875
1,transpose_a,65,129,67,1,0,2,64,64,256,16384,0,892245
1,transpose_a,65,129,67,1,0,3,64,256,64,16384,0,765315
1,transpose_a,65,129,67,1,0,4,64,256,256,0,0,671956
