# revision=b417ed538d0c7c9c2e49bf9914340c81663c360f
# architecture=x86_64 vendor=amd family=25 model=17 stepping=1 microarchitecture="" features=511
# cache_line_bytes=64 l1_data_bytes=32768 l2_bytes=1048576 l3_bytes=33554432 physical_cores=2 logical_cores=4
# requested_threads=1 effective_threads=1 affinity=none spin=adaptive spin_iterations=10000 spin_duration_ns=0 uses_smt=0 uses_efficiency_cores=0 nested=0
# visible_processors=0:0 0:1 0:2 0:3
dtype,workload,m,n,k,trans_a,trans_b,configuration,tile_m,tile_n,tile_k,pack_b_minimum_elements,repetition,duration_ns
1,large,256,256,256,0,0,5,64,256,256,9223372036854775807,6,15949613
1,deep,32,64,513,0,0,0,64,256,256,16384,0,858093
1,deep,32,64,513,0,0,1,32,256,256,16384,0,896560
1,deep,32,64,513,0,0,2,64,64,256,16384,0,870011
1,deep,32,64,513,0,0,3,64,256,64,16384,0,857462
1,deep,32,64,513,0,0,4,64,256,256,0,0,848809
1,deep,32,64,513,0,0,5,64,256,256,9223372036854775807,0,853065
1,deep,32,64,513,0,0,6,32,64,128,16384,0,861739
1,deep,32,64,513,0,0,1,32,256,256,16384,1,856190
1,deep,32,64,513,0,0,2,64,64,256,16384,1,855379
1,deep,32,64,513,0,0,3,64,256,64,16384,1,857772
1,deep,32,64,513,0,0,4,64,256,256,0,1,879454
1,deep,32,64,513,0,0,5,64,256,256,9223372036854775807,1,848529
1,deep,32,64,513,0,0,6,32,64,128,16384,1,862369
1,deep,32,64,513,0,0,0,64,256,256,16384,1,856711
1,deep,32,64,513,0,0,2,64,64,256,16384,2,859235
1,deep,32,64,513,0,0,3,64,256,64,16384,2,864232
1,deep,32,64,513,0,0,4,64,256,256,0,2,856941
1,deep,32,64,513,0,0,5,64,256,256,9223372036854775807,2,851242
1,deep,32,64,513,0,0,6,32,64,128,16384,2,850671
1,deep,32,64,513,0,0,0,64,256,256,16384,2,857992
1,deep,32,64,513,0,0,1,32,256,256,16384,2,868468
1,deep,32,64,513,0,0,3,64,256,64,16384,3,856661
1,deep,32,64,513,0,0,4,64,256,256,0,3,856700
1,deep,32,64,513,0,0,5,64,256,256,9223372036854775807,3,855428
1,deep,32,64,513,0,0,6,32,64,128,16384,3,897451
1,deep,32,64,513,0,0,0,64,256,256,16384,3,857872
1,deep,32,64,513,0,0,1,32,256,256,16384,3,849570
1,deep,32,64,513,0,0,2,64,64,256,16384,3,856150
1,deep,32,64,513,0,0,4,64,256,256,0,4,858573
1,deep,32,64,513,0,0,5,64,256,256,9223372036854775807,4,875038
1,deep,32,64,513,0,0,6,32,64,128,16384,4,853026
1,deep,32,64,513,0,0,0,64,256,256,16384,4,855759
1,deep,32,64,513,0,0,1,32,256,256,16384,4,859675
1,deep,32,64,513,0,0,2,64,64,256,16384,4,850091
1,deep,32,64,513,0,0,3,64,256,64,16384,4,868358
1,deep,32,64,513,0,0,5,64,256,256,9223372036854775807,5,874417
1,deep,32,64,513,0,0,6,32,64,128,16384,5,859675
1,deep,32,64,513,0,0,0,64,256,256,16384,5,858233
1,deep,32,64,513,0,0,1,32,256,256,16384,5,867226
1,deep,32,64,513,0,0,2,64,64,256,16384,5,857952
1,deep,32,64,513,0,0,3,64,256,64,16384,5,851042
1,deep,32,64,513,0,0,4,64,256,256,0,5,863341
1,deep,32,64,513,0,0,6,32,64,128,16384,6,853145
1,deep,32,64,513,0,0,0,64,256,256,16384,6,857281
1,deep,32,64,513,0,0,1,32,256,256,16384,6,855669
1,deep,32,64,513,0,0,2,64,64,256,16384,6,867116
1,deep,32,64,513,0,0,3,64,256,64,16384,6,861207
1,deep,32,64,513,0,0,4,64,256,256,0,6,849851
1,deep,32,64,513,0,0,5,64,256,256,9223372036854775807,6,899685
1,wide,32,512,128,0,0,0,64,256,256,16384,0,1377649
1,wide,32,512,128,0,0,1,32,256,256,16384,0,1363548
1,wide,32,512,128,0,0,2,64,64,256,16384,0,1401485
1,wide,32,512,128,0,0,3,64,256,64,16384,0,1359352
1,wide,32,512,128,0,0,4,64,256,256,0,0,1437309
1,wide,32,512,128,0,0,5,64,256,256,9223372036854775807,0,4042753
1,wide,32,512,128,0,0,6,32,64,128,16384,0,1380284
1,wide,32,512,128,0,0,1,32,256,256,16384,1,1368395
1,wide,32,512,128,0,0,2,64,64,256,16384,1,1372341
1,wide,32,512,128,0,0,3,64,256,64,16384,1,1361325
1,wide,32,512,128,0,0,4,64,256,256,0,1,1439052
1,wide,32,512,128,0,0,5,64,256,256,9223372036854775807,1,4146689
1,wide,32,512,128,0,0,6,32,64,128,16384,1,1369517
1,wide,32,512,128,0,0,0,64,256,256,16384,1,1368817
1,wide,32,512,128,0,0,2,64,64,256,16384,2,1373293
1,wide,32,512,128,0,0,3,64,256,64,16384,2,1363779
1,wide,32,512,128,0,0,4,64,256,256,0,2,1442417
1,wide,32,512,128,0,0,5,64,256,256,9223372036854775807,2,4177235
1,wide,32,512,128,0,0,6,32,64,128,16384,2,1369938
